concept_uri,preferred_label,description
http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,Musikpersonal verwalten,"Zuweisen und Verwalten der Aufgaben des Personals in Bereichen wie Komposition, Arrangement, Kopieren von Musik und Gesangsunterricht."
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,Strafvollzugsverfahren beaufsichtigen,"Überwachen des Betriebs einer Justizvollzugsanstalt oder anderer Strafvollzugsverfahren, um sicherzustellen, dass die Rechtsvorschriften angewendet und vom Personal eingehalten werden, sowie Verbessern der Effizienz und Sicherheit der Haftanstalt."
http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,nicht unterdrückende Praktiken anwenden,"Ermitteln von Repressionen in Gesellschaften, Volkswirtschaften, Kulturen und Gruppen, professionelles Handeln auf nichtrepressive Weise, Befähigen der Nutzer von Dienstleistungen, tätig zu werden, um ihr Leben zu verbessern, und der Bürger, ihr Umfeld entsprechend ihren eigenen Interessen zu verändern."
http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,Einhaltung von Vorschriften von Eisenbahnfahrzeugen überprüfen,"Kontrollieren von Fahrzeugen, Komponenten und Systemen, um die Einhaltung von Normen und Spezifikationen zu gewährleisten."
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,verfügbare Dienste ermitteln,"Ermitteln der verschiedenen verfügbaren Dienste, die einem Straftäter während seiner Bewährungszeit offenstehen, um den Rehabilitierungs- und Wiedereingliederungsprozess zu unterstützen, sowie Beraten der Täter, wie sie die ihnen zur Verfügung stehenden Dienstleistungen ermitteln können."
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,toxikologische Studien durchführen,"Durchführen von Tests zum Nachweis von Giften oder Drogenmissbrauch und Unterstützen der Therapieüberwachung durch den Einsatz von chemischen Reagenzien, Enzymen, Radioisotopen und Antikörpern, um ungewöhnliche chemische Konzentrationen im Körper zu erkennen."
http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,Einheitlichkeit von Kokillen gewährleisten,Überwachen der Einheitlichkeit von Kokillen; Verwenden von Gießmaschinen und Werkzeugen wie Schweißgeräten.
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,"Techniken und Grundsätze der Softwareentwicklung, wie Analyse, Algorithmen, Programmierung, Tests und Zusammenstellen von Programmparadigmen in Haskell."
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,Initiative zeigen,"Proaktiv sein und den ersten Schritt unternehmen, ohne darauf zu warten, was andere sagen oder tun.
  "
http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,Personal mit Blick auf die Verringerung von Lebensmittelabfällen schulen,"Einführung neuer Schulungs- und Personalentwicklungsmaßnahmen, um das Wissen der Mitarbeiter über die Vermeidung von Lebensmittelabfällen und die Wiederverwertung von Lebensmitteln zu fördern. Sicherstellen, dass das Personal die Methoden und Hilfsmittel für die Wiederverwertung von Lebensmitteln kennt, z. B. die Abfalltrennung.
	"
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,Grundsätze der Diplomatie anwenden,"Anwenden der mit der Ausarbeitung internationaler Verträge verbundenen Prozesse durch Verhandlungen zwischen Vertretern verschiedener Länder, Schutz der Interessen der Regierung und Unterstützung von Kompromissen."
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,polizeiliche Ermittlungen leiten,"Leiten von Ermittlungen der Polizei, einschließlich Festlegen einer Ermittlungsstrategie, Kontaktaufnahme mit Sachverständigen, Anwenden unterschiedlicher Methoden und Standpunkte sowie Führen und Anleiten der beteiligten Ermittler."
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,mit den Abfällen der Fischernte umgehen,"Entsorgen von Abfall, Blut und minderwertigem Fisch gemäß den am Standort geltenden Verfahren für die Abfallbewirtschaftung."
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,Energiesparkonzepte entwickeln,"Nutzen der aktuellen Forschungsergebnisse und Zusammenarbeit mit Experten zur Optimierung oder Entwicklung von Konzepten, Ausrüstung und Herstellungsverfahren, die weniger Energie benötigen, z. B. neue Dämmverfahren und -materialien."
http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,als Streetworker tätig sein,"Sozialarbeit durch Kontaktaufnahme mit Personen in der Nachbarschaft oder auf der Straße und Anbieten von direkten Informationen oder Beratungsdiensten, die in der Regel auf Jugendliche oder Obdachlose ausgerichtet sind."
http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,mit Solisten/Solistinnen arbeiten,"Kommunizieren mit Solokünstlern und Konzertmeistern, um die Aufführungen zu besprechen und vorzubereiten."
http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,Sport- und Bewegungsmedizin,"Vorbeugung und Behandlung von Verletzungen oder Erkrankungen, die auf eine körperliche Betätigung oder auf Sport zurückzuführen sind."
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,Pflanzenforschung durchführen,"Sammeln und Auswerten von Daten über Pflanzen, um ihre grundlegenden Aspekte wie Ursprung, Anatomie und Funktion zu erforschen."
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,Wärmepumpe installieren,"Installieren von Wärmepumpen, die die physikalischen Eigenschaften von Kältemitteln nutzen, um Wärme aus der Umgebungsluft zu extrahieren und sie in einer wärmeren Umgebung wieder freizusetzen, im Gegensatz zu einer spontanen Wärmezufuhr. Schaffen der erforderlichen Öffnungen und Installieren der Innen- und Außenteile der Wärmepumpe. Anschließen der Stromleitungen und Kabelkanäle sowie Konfigurieren der Wärmepumpe."
http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,Biomasseanlagen planen,"Planung des Biomasse-Energiesystems. Bestimmung der Grenzen der Konstruktion, z. B. des benötigten Platzes und des Gewichts. Berechnen von Indikatoren wie Kapazität, Durchfluss und Temperaturen. Erstellen detaillierter Beschreibungen und Zeichnungen des Entwurfs.
	"
http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,Bedienen von Geräten bei Arbeiten am Seil,"Sicheres Bedienen von Geräten bei Tätigkeiten in großer Höhe unter Absicherung mit einem Seil. Vor Beginn der Tätigkeit Einnehmen einer sicheren und stabilen Position. Nach Beendigung der Tätigkeit sicheres Verstauen der Ausrüstung, in der Regel durch Befestigung an einer Gurtschließe."
http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,Kenntnisse in Haushaltsführung vermitteln,"Vermitteln von Kenntnissen im Bereich der Haushaltsführung sowie von handwerklichen Fertigkeiten mit dem Ziel, die tägliche Arbeit und die Lebensumstände zu verbessern."
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,Lokomotiven überprüfen,"Sicherstellen, dass Lokomotiven vor Fahrtantritt den Vorschriften entsprechen."
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,öffentliche Maßnahmen beeinflussen,"Kommunizieren mit politischen Entscheidungsträgern und ihnen Daten zur Verfügung stellen, um sie davon zu überzeugen, Rechtsvorschriften zu ändern oder Mittel für ein bestimmtes Anliegen bereitzustellen.
	"
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,Unternehmensrisikomanagement,"Eine auf einem Plan basierende Unternehmensstrategie, die darauf abzielt, Gefahren, Risiken und andere potenzielle Katastrophen, sowohl physisch als auch im übertragenen Sinne, die den Betrieb und die Ziele eines Unternehmens beeinträchtigen können, zu identifizieren, zu bewerten und sich darauf vorzubereiten.
	"
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,Zutaten herstellen,"Herstellen von Zutaten wie Gewürzen, Zusatzstoffen und Gemüse."
http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,Zuchtteiche von Aquakulturen instand halten,"Reinigen der Geräte und Behandlungswerkzeuge. Entleeren und Reinigen von Zuchtteichen mit Bürsten, Chemikalien und Wasser. Vorbereiten der Halteeinrichtungen auf das Einsetzen der Fische, Austauschen der Netze. Kontrolle durch Schwimmer. Aufstocken des Fischbestands in den Halteeinrichtungen. Einsammeln von Fischkadavern in den Halteeinrichtungen."
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,Kreditrisikopolitik anwenden,Umsetzen der Unternehmenspolitik und -vorschriften im Rahmen des Kreditrisikomanagements. Dauerhaftes Halten des Kreditrisikos des Unternehmens auf einem kontrollierbaren Niveau und Ergreifen von Maßnahmen zur Vermeidung von Kreditausfällen.
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,Kundenanfragen in Bezug auf Fracht bearbeiten,"Bearbeiten der Anfragen von Hafennutzern und Kunden im Zusammenhang mit Containern, Versandregelungen oder Fracht."
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,wissenschaftliche oder akademische Arbeiten und technische Unterlagen verfassen,"Verfassen und Bearbeiten von wissenschaftlichen, akademischen oder technischen Texten zu verschiedenen Themen.
    "
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,inkrementelle Entwicklung,Das Modell der inkrementellen Entwicklung ist eine Methode zur Entwicklung von Softwaresystemen und Anwendungen.
http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,Hilfsmittel für Alltagsarbeiten,"Arten von Spezialausrüstung, Prothesen und Orthesen, die für die Durchführung täglicher Tätigkeiten verwendet werden, z. B. Rollstühle."
http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,Sägetechniken,Verschiedene Sägetechniken zur Verwendung manueller und elektrischer Sägen.
http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,Bestandteile von Gitarren herstellen,"Auswählen der geeigneten Tonhölzer, Materialien und Werkzeuge und Herstellen der verschiedenen Gitarrenbestandteile wie die Decke, das Griffbrett, die Kopfplatte, der Hals und der Steg."
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,landwirtschaftliche Maschinen bedienen,"Bedienen motorisierter landwirtschaftlicher Geräte, einschließlich Traktoren, Ballenpressen, Pflanzenschutzgeräten, Pflügen und anderen Geräten zur Bodenbearbeitung, Mähern, Mähdreschern, Lastkraftwagen und Bewässerungsanlagen."
http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,den Sprengstoff- und Feuerwerkskörperbestand kontrollieren,"Überprüfen der Verfallszeit des Bestands, um bereits abgelaufene Pyrotechnik auszusortieren. Einfügen in spezielle Metallbehälter zur weiteren Verarbeitung.
   "
http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,Kundenzufriedenheit gewährleisten,"Professioneller Umgang mit den Erwartungen der Kunden, Antizipieren und Erfüllen ihrer Bedürfnisse und Wünsche. Bereitstellen eines flexiblen Kundendienstes, um Kundenzufriedenheit und Kundenbindung zu gewährleisten."
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,Kleidungsprodukte herstellen,"Herstellen von Massenware oder maßgeschneiderter Bekleidung verschiedener Art, Verbinden und Zusammenfügen von Bekleidungskomponenten durch Nähen, Kleben oder Heißkleben. Verbinden von Bekleidungskomponenten mithilfe von Nähten, z. B. Kragen, Ärmel, Vorderteil, Rückenteil, Taschen."
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,Tabakblätter härten,"Entfernen der Feuchtigkeit aus den Tabakblättern unmittelbar nach der Ernte durch verschiedene Verfahren wie Lufttrocknung, Heißluft-/Röhrentrocknung oder Sonnentrocknung."
http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,ein Rehabilitationsprogramm entwickeln,"Entwickeln eines Rehabilitationsprogramms, das den Patienten dabei hilft, ihre Fähigkeiten wiederzuerlangen und wieder an Selbstvertrauen zu gewinnen."
http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,Bestand an Reinigungsmitteln aufrechterhalten,"Kontrollieren des Bestands an Reinigungsmitteln, Bestellen neuen Materials, wenn der Lagerbestand aufgebraucht ist und Überwachen des Verbrauchs, um eine konstante Verfügbarkeit zu gewährleisten.
   "
