,course_name,skill_label
0,Aktuelles Arbeitsrecht 2022,Arbeitsrecht
1,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Risikomanagement
2,Ambulante Pflege - Rechtssicher Handeln und Haftungsrisiken vermeiden,Datenschutz
3,Aufgaben des gesetzlichen Betreuers - Zur Reform des Betreuungsrechts,planen
4,Aufgaben des gesetzlichen Betreuers - Zur Reform des Betreuungsrechts,sich selbst darstellen
5,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Betten machen
6,"Basisqualifikation für ungelernte Pflegekräfte (zertifiziert, berufsbegleitend)",Ernährung
7,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-in (8 UE) - Online-Seminar,Erste Hilfe
8,Berufspädagogische Pflichtfortbildung für Praxisanleiter/-innen (8 UE),Dritte evaluieren
9,"Betreuungskraft gem. §§ 43b, 53c SGB XI (berufsbegleitend)",Kommunikation
10,"Betreuungskraft gem. §§ 43b, 53c SGB XI (berufsbegleitend)",Erste Hilfe
11,Demenz und Recht: Rechtssicheres Handeln zwischen Freiheit und Sicherheit ,Risikomanagement
12,"Fachkraft für gerontopsychiatrische Betreuung und Pflege (zertifiziert, berufsbegleitend)",Waren sichern
13,"Fachkraft für gerontopsychiatrische Betreuung und Pflege (zertifiziert, berufsbegleitend)",andere beraten
14,"Fachkraft für gerontopsychiatrische Betreuung und Pflege (zertifiziert, berufsbegleitend)",Beratung
15,Gerontopsychiatrische Grundlagen - Möglichkeiten personenzentrierter Kommunikation mit psychisch veränderten alten Menschen,Kommunikation
16,Hygienebeauftragte/-r in der Kita,Parasitologie
17,Hygienebeauftragte/-r in der Kita - Online-Seminar,Parasitologie
18,Hygienebeauftragte/-r in der Pflege - kompakt (berufsbegleitend),Epidemiologie
19,Hygienebeauftragte/-r in der Pflege - kompakt (berufsbegleitend),Parasitologie
20,Hygienebeauftragte/-r in der Pflege - kompakt (berufsbegleitend),Immunologie
21,Klangtherapie (nach Peter Hess) in der Arbeit mit demenziell erkrankten Menschen,Kommunikation
22,Kommunikation mit Sterbenden und deren Angehörigen: Zuhören - Reden - Verstehen,Kommunikation
23,Kompetenzen für den Umgang mit Vielfalt in der Pflege - Online-Seminar,Beratung
24,Konflikte im Team - praktische Lösungsmöglichkeiten,Konfliktmanagement
25,Leitung einer Station im Krankenhaus bzw. eines Wohnbereiches in einer Pflegeeinrichtung (berufsbegleitend),Mitarbeiter führen
26,Leitung einer Station im Krankenhaus bzw. eines Wohnbereiches in einer Pflegeeinrichtung (berufsbegleitend),andere führen
27,Leitung einer Station im Krankenhaus bzw. eines Wohnbereiches in einer Pflegeeinrichtung (berufsbegleitend),betriebswirtschaftliche Grundsätze
28,Leitung einer Station im Krankenhaus bzw. eines Wohnbereiches in einer Pflegeeinrichtung (berufsbegleitend),Anthropologie
29,Leitung einer Station im Krankenhaus bzw. eines Wohnbereiches in einer Pflegeeinrichtung (berufsbegleitend),Ethik
30,Leitung einer Station im Krankenhaus bzw. eines Wohnbereiches in einer Pflegeeinrichtung (berufsbegleitend),Psychologie
31,Leitung einer Station im Krankenhaus bzw. eines Wohnbereiches in einer Pflegeeinrichtung (berufsbegleitend),Pädagogik
32,Leitung einer Station im Krankenhaus bzw. eines Wohnbereiches in einer Pflegeeinrichtung (berufsbegleitend),Soziologie
33,Logopäde/-in,Logopädie
34,Logopäde/-in,Pädagogik
35,Logopäde/-in,Soziologie
36,Logopäde/-in,Psychologie
37,Logopäde/-in,Pathologie
38,Logopäde/-in,Audiologie
39,Logopäde/-in,Neurologie
40,Logopäde/-in,Kieferorthopädie
41,Mitarbeitergespräche erfolgreich führen,andere führen
42,Palliative Care (berufsbegleitend)	,Ernährung
43,Palliative Care (berufsbegleitend)	,Kommunikation
44,Pflegedokumentation für Pflegehilfskräfte,Kommunikation
45,Pflegedokumentation für Pflegehilfskräfte,sich selbst darstellen
46,"Pflegeteams erfolgreich leiten und führen (4 Module &#8211; einzeln buchbar) Modul 1 ""Führungsverständnis entwickeln""",andere führen
47,"Pflegeteams erfolgreich leiten und führen (4 Module &#8211; einzeln buchbar) Modul 1 ""Konfliktmanagement für Führungskräfte""",andere führen
48,"Pflegeteams erfolgreich leiten und führen (4 Module &#8211; einzeln buchbar) Modul 1 ""Konfliktmanagement für Führungskräfte""",Konfliktmanagement
49,"Pflegeteams erfolgreich leiten und führen (4 Module &#8211; einzeln buchbar) Modul 2 ""Kommunikationstraining""",andere führen
50,"Pflegeteams erfolgreich leiten und führen (4 Module &#8211; einzeln buchbar) Modul 2 ""Kommunikationstraining""",Kommunikation
51,"Pflegeteams erfolgreich leiten und führen (4 Module &#8211; einzeln buchbar) Modul 2 ""Kommunikationstraining""",Reflexion
52,"Pflegeteams erfolgreich leiten und führen (4 Module &#8211; einzeln buchbar) Modul 3 ""Teams erfolgreich leiten und führen""",Kommunikation
53,"Pflegeteams erfolgreich leiten und führen (4 Module &#8211; einzeln buchbar) Modul 3 ""Teams erfolgreich leiten und führen""",andere führen
54,"Pflichtfortbildung für Betreuungskräfte gemäß §§ 43b, 53c SGB XI (ehem. § 87b) Angebot A	",Kommunikation
55,"Praxisanleiter/-in (300 Unterrichtsstunden, zertifiziert, berufsbegleitend)",Beratung
56,"Praxisanleiter/-in (300 Unterrichtsstunden, zertifiziert, berufsbegleitend)",Reflexion
57,"Praxisanleiter/-in (300 Unterrichtsstunden, zertifiziert, berufsbegleitend)",Psychologie
58,"Praxisanleiter/-in (300 Unterrichtsstunden, zertifiziert, berufsbegleitend)",Strafrecht
59,"Qualitätsmanagementbeauftragte/r in der Pflege (164 Stunden, berufsbegleitend)",R
60,"Qualitätsmanagementbeauftragte/r in der Pflege (164 Stunden, berufsbegleitend)",Kommunikation
61,Refresher für Hygienebeauftragte + zweistündige Notfallschulung,Parasitologie
62,Refresher für Hygienebeauftragte + zweistündige Notfallschulung,Reanimation
