course_name,course_id,course_description
Experte im Prozessmanagement,A1E06AAB-F264-4308-F318-2C2E43E1CB54,"Die aktuell vorherrschende Situation auf dem Arbeitsmarkt gestaltet sich als wandelbar und schnelllebig. Globalisierung und Technisierung tragen einen großen Anteil dazu bei. Verschiedene Kulturen treffen im Arbeitsleben aufeinander. Verschiedene Abteilungen und Aufgabenbereiche treffen aufeinander. Es wird immer komplexer.

Ziel der Maßnahme Weiterbildung Prozessmanagement ist es deshalb, den Teilnehmenden eine solide Basis auf dem Gebiet des Prozessmanagements zu vermitteln. Welche Fach- und Wissensbereiche dabei unabdingbar sind, haben wir in der Kurzbeschreibung dargestellt.

Unser Verständnis davon, zukünftige Spezialisten im Bereich des Prozessmanagements auszubilden, hat weniger damit zu tun, theoretisches Wissen zu vermitteln, sondern unsere Teilnehmer von Weiterbildung Prozessmanagement in die Lage zu versetzen, als professionelle Prozessmanager in der Praxis auftreten zu können, indem wir ihnen die richtigen Werkzeuge dafür an die Hand geben. Das hat vor allem auch damit zu tun, dass unsere Teilnehmer von Weiterbildung Prozessmanagement in die Lage versetzt werden, sich selbst zu führen und zu organisieren, bevor sie in die Situation kommen, Prozesse in Unternehmen zu analysieren und zu optimieren.

Am Ende dieser Weiterbildung Prozessmanagement wiederholen wir in einem Reflektionstag die erarbeiteten Inhalte und festigen somit zusätzlich die erworbenen fachlichen Inhalte.     "
Experte in Cloud Computing,A1DFC244-E07B-BE74-4422-1995EE3B5F8A,"""Cloud Computing"" ist die bedarfsabhängige Bereitstellung von IT-Ressourcen über das Internet zu nutzungsabhängigen Preisen. Statt physische Rechenzentren und Server zu erwerben, zu besitzen und zu unterhalten, können Sie über einen Cloud-Anbieter wie Amazon Web Services (AWS), Google Cloud oder Microsoft Azure nach Bedarf auf Technologieservices wie beispielsweise Rechenleistung, Speicher und Datenbanken zugreifen. In unseren Artikel ""Was ist Cloud Computing"" können Sie weiter nachlesen.

- Cloud Computing
- Amazon Web Services
- Google Cloud
- Microsoft Azure
- Praktische Übungen     "
Experte in Investition und Finanzierung,A1E08F41-0B47-7D51-C6F5-47D497F050F0,"Die aktuell vorherrschende Situation auf dem Arbeitsmarkt gestaltet sich vor allem auch durch den immer größer werdenden Wettbewerbsdruck als wandelbar und schnelllebig. Globalisierung und Technisierung tragen einen großen Anteil dazu bei und vergrößern stetig den allgemeinen Wettbewerbsdruck. Eine solide Investitions- und Finanzierungsstrategie ist für ein Unternehmen, welches sich in diesen Zeiten behaupten will, daher unabdingbar und überlebenswichtig.

Ziel der Maßnahme Weiterbildung Investition und Finanzierung ist es deshalb, den Teilnehmenden eine solide Basis auf dem Gebiet der Investition und Finanzierung zu vermitteln. Welche Fach- und Wissensbereiche dabei relevant sind, haben wir in der Kurzbeschreibung dargestellt.

Unser Verständnis davon, zukünftige Spezialisten im Bereich der Investition und Finanzierung weiterzubilden, hat weniger damit zu tun, theoretisches Wissen zu vermitteln, sondern unsere Teilnehmer von Weiterbildung Investition und Finanzierung in die Lage zu versetzen, als professionelle Spezialisten in der Praxis auftreten zu können, indem wir ihnen die richtigen Werkzeuge dafür an die Hand geben.

Am Ende dieser Weiterbildung Investition und Finanzierung wiederholen wir in einem Reflektionstag die erarbeiteten Inhalte und festigen somit zusätzlich die erworbenen fachlichen Inhalte.

* Einteilung von Finanzmärkten
* Finanzwirtschaftliche Aufgaben und Ziele
* Investitions- und Finanzplanung
* Investitionsrechnung zur Beurteilung von Sachinvestitionen
* Investitionsrechnung und weitere Einflussgrößen zur Beurteilung von Finanzinvestitionen
* Beteiligungsfinanzierung
* Kreditfinanzierung, Mezzanine-Finanzierung und Innenfinanzierung
* Bonität
* Derivate und Finanzswaps
* Unbedingte Termingeschäfte
* Die Welt der Fördermittel     "
Experte in Unternehmensaufbau und Organisation,A1DFF789-1B71-1CD5-F972-9AA4F3B32C8B,"Der Kurs zielt auf die Verbesserung der Führungsqualitäten der Teilnehmer. Die aktuell vorherrschende Situation auf dem Arbeitsmarkt gestaltet sich als extrem wandelbar und schnelllebig. Globalisierung und Technisierung tragen einen großen Anteil dazu bei. Verschiedene Kulturen treffen im Arbeitsleben aufeinander. Verschiedene Abteilungen und Aufgabenbereiche treffen aufeinander. Es wird immer komplexer. Hier gilt es, vor allem als (zukünftige) Führungskraft, den Überblick zu behalten, sowie effizient, klar und strukturiert agieren zu können.

- Unternehmerperson
- Marktanalyse
- Wettbewerbsanalyse
- Unternehmensanalyse
- Vertrieb
- Marketing
- Businessplan
- Förderung und Finanzierung     "
Experte in Unternehmensführung,A1E05E65-48FD-DE85-520D-283A9117BCD9,"Die aktuell vorherrschende Situation auf dem Arbeitsmarkt gestaltet sich als wandelbar und schnelllebig. Globalisierung und Technisierung tragen einen großen Anteil dazu bei. Verschiedene Kulturen treffen im Arbeitsleben aufeinander. Verschiedene Abteilungen und Aufgabenbereiche treffen aufeinander. Es wird immer komplexer.

Ziel der Maßnahme Weiterbildung Unternehmensführung ist es deshalb, den Teilnehmenden eine solide Basis auf dem Gebiet der Unternehmensführung zu vermitteln. Welche Fach- und Wissensbereiche dabei unabdingbar sind, haben wir in der Kurzbeschreibung dargestellt.

Unser Verständnis davon, zukünftige Führungskräfte auszubilden, hat weniger damit zu tun, theoretisches Wissen zu vermitteln, sondern unsere Teilnehmer in die Lage zu versetzen, als professionelle Führungskraft in der Praxis auftreten zu können, indem wir ihnen die richtigen Werkzeuge dafür an die Hand geben. Das hat vor allem auch damit zu tun, dass unsere Teilnehmer von Weiterbildung Unternehmensführung in die Lage versetzt werden, sich selbst zu führen und zu organisieren, bevor sie in die Situation kommen, Mitarbeiter führen und organisieren zu müssen.

Um für jeden Teilnehmer von Weiterbildung Unternehmensführung herauszuarbeiten, wo seine Stärken und Schwächen liegen und wie er ganz individuell seinen Führungsstil ausarbeiten kann, arbeiten wir mit dem Gallup-Strengthfinder-Test. Hier bekommt jeder Teilnehmer das dazugehörige Buch, eine individuelle Auswertung des Tests und einen Status-Quo, welchen er nach unserer Weiterbildung für sich mitnehmen kann. Anschließend wird das grundlegende Fachwissen im Bereich der Unternehmensführung vermittelt.

Am Ende dieser Weiterbildung wiederholen wir in einem Reflektionstag die erarbeiteten Inhalte und gehen nochmal auf jeden Teilnehmer individuell ein, indem wir das Ergebnis seines Gallup-Tests besprechen und nun mit den erworbenen theoretischen Fachkenntnissen zusammenbringen, um so für jeden Teilnehmer das Rüstzeug zu erarbeiten, was er im späteren Arbeitsalltag als Führungskraft benötigt.     "
IT-Projektmanagement,A1E0969B-12DB-B016-964F-919D1DEB0112,"Die aktuell vorherrschende Situation auf dem Arbeitsmarkt gestaltet sich als wandelbar und schnelllebig. Globalisierung und Technisierung tragen einen großen Anteil dazu bei. Verschiedene Kulturen treffen im Arbeitsleben aufeinander. Verschiedene Abteilungen und Aufgabenbereiche treffen aufeinander. Es wird immer komplexer.

Ziel der Maßnahme ist es deshalb, den Teilnehmenden eine solide Basis auf dem Gebiet des IT-Projektmanagements zu vermitteln. Welche Fach- und Wissensbereiche dabei unabdingbar sind, haben wir in der Kurzbeschreibung dargestellt.

Unser Verständnis davon, zukünftige Spezialisten im Bereich IT-Projektmanagement auszubilden, hat weniger damit zu tun, theoretisches Wissen zu vermitteln, sondern unsere Teilnehmer in die Lage zu versetzen, als professionelle IT-Projektleiter in der Praxis auftreten zu können, indem wir ihnen die richtigen Werkzeuge dafür an die Hand geben. Das hat vor allem auch damit zu tun, dass unsere Teilnehmer in die Lage versetzt werden, sich selbst zu führen und zu organisieren, bevor sie in die Situation kommen, Projekte mit mehreren Beteiligten führen und organisieren zu müssen.

Am Ende der Weiterbildung IT-Projektmanagement wiederholen wir in einem Reflektionstag die erarbeiteten Inhalte und festigen somit zusätzlich die erworbenen fachlichen Inhalte.

* IT-Projekte erfolgreich managen
* Projektportfoliomanagemen
* Agiles IT-Projektmanagement
* Prozessorientiertes Projektmanagement
* Der erfolgreiche Abschluss eines IT-Projekts
* Personalplanung und Personaleinsatz in IT-Projekten
* Kosten- und Finanzmanagement von IT-Projekte
* Aufwandschätzung in IT-Projekten
* Scorecards und Reports  Werkzeuge im IT-Projektcontrolling
* Qualitätsmanagement für IT-Projekte
* Risikomanagement für IT-Projekte
* IT-Projektmarketing
* Compliance in und von IT-Projekten
* Stakeholder-Management für IT-Projekte     "
PHP Programmierer und Datenbankentwickler,A1DFDEA2-E36E-E91A-D9B8-3F0956BECDE6,"PHP (Hypertext Preprocessor) ist eine quelloffene serverseitige Skriptsprache. Sie ist auch extrem beliebt - im August 2021 nutzten fast 80 % aller Websites PHP, und es gibt keine Anzeichen dafür, dass sich die Nutzung in nächster Zeit verlangsamen wird. Es kann kostenlos heruntergeladen und verwendet werden und ist leistungsstark genug, um einige der größten Websites im Internet zu betreiben (WordPress, Facebook und Wikipedia, um nur einige zu nennen).

- Einführung PHP
- Grundlagen PHP
- PHP für Fortgeschrittene
- Bibliotheken, Classen
- MVC - Model View Controller
- Objekt orientierte Programmierung OOP
- Praktische Übungen     "
"Programmierung PHP Frameworks: Laravel, Symfony, Zend",A1DFEB90-BC08-8DA2-A8A2-30C4C2E6E989,"PHP (Hypertext Preprocessor) ist eine quelloffene serverseitige Skriptsprache. Sie ist auch extrem beliebt - im August 2021 nutzten fast 80 % aller Websites PHP, und es gibt keine Anzeichen dafür, dass sich die Nutzung in nächster Zeit verlangsamen wird. Es kann kostenlos heruntergeladen und verwendet werden und ist leistungsstark genug, um einige der größten Websites im Internet zu betreiben (WordPress, Facebook und Wikipedia, um nur einige zu nennen).

- Von PHP zu Frameworks
- Unterschiede, Vorteile, Nachteile
- PHP Laravel
- PHP Zend
- PHP Symfony
- Praktische Übungen     "
Shopsystem Administrator,A1DF7719-5965-53A1-C4CF-22D1AEE3D88B,"Ziel der Maßnahme ist es den Teilnehmern eine solide Basis auf dem Gebiet Administration von Onlineshops zu verschaffen. Neben Grundlagen der Geschäftsprozesse im Onlinehandel, werden vertieft vier Onlineshop Systeme behandelt: Anlegen von Produkten, Verwalten von Kategorien, Bearbeitung von Bestellungen, Einstellungen im Onlineshop System vornehmen, Bezahlmethoden, Versandmethoden, Kundenbindung durch Gutscheine und Rabatte. Abgerundet wird die Maßnahme mit Analyse Tools, um eine solide Basis für das Datenverständnis aus den Verkaufskanälen zu vermitteln, damit richtige Schlussfolgerungen gezogen werden können. Die Teilnehmer werden nach Abschluss der Maßnahme in der Lage sein, ein Shopsystem zu bedienen, einzurichten und zu verwalten, die Daten richtig zu analysieren, Kunden-, Produkt- und Bestellmanagement zu übernehmen und passende Bezahl- und Versandmethoden auszuwählen und einzurichten.

- Online Shopsysteme im Überblick: Magento
- Online Shopsysteme im Überblick: Shopify
- Online Shopsysteme im Überblick: Shopware
- Multi-Channel Strategien / Social Shopping
- Online-Marketing-Grundlagen
- SEO-Grundlagen Onlineshop
- Conversion Optimierung
- Webanalyse Onlineshop
- Kaufmännisches & Rechtliches     "
Social-Media Manager,A1DF94D9-0547-7ED8-AB3C-6233DFB724AE,"Ziel der Maßnahme ist es den Teilnehmern eine solide Basis auf dem Gebiet Social Media zu verschaffen. Neben Grundlagen des Marketings und der Social Media Landschaft für Unternehmen werden vertieft die Erarbeitung der Strategie behandelt, bezahlte Werbung in Social Media sowie die Erstellung eines Reaktionsplanes mit entsprechenden Zielsetzungen. Der Social Media Manager wird mit Grafikdesigner zusammen arbeiten können, um passenden Content für die Social-Media-Kanäle zu kreieren. Abgerundet wird die Maßnahme mit Analyse Tools, um eine solide Basis für das Datenverständnis aus den Social Media Kanälen, damit richtige Schlussfolgerungen gezogen werden können. Die Teilnehmer werden nach Abschluss der Maßnahme in der Lage sein eine Social Media Strategie für ein Unternehmen zu entwickeln, passende Social-Media-Kanäle auszuwählen und das zu bedienen, die Daten richtig zu analysieren, Community Management und Reputationsmanagement zu übernehmen und passende Influencer auszuwählen. 

- Grundlagen Social Media
- Social Media Strategie 
- LinkedIn Marketing
- Instagram Marketing
- Facebook Marketing
- Performance Marketing in Social Media
- Community Management im Social Media Marketing
- Erfolge messen und Monitoring Tools
- Corporate Blogs und Content Seeding     "
